"YEAR","Month (Name)","DETECTION_METHOD","Sum(FINES)"
2023,"January","Fixed or mobile camera",94293
2023,"January","Police issued",6672
2023,"February","Fixed or mobile camera",18057
2023,"February","Police issued",3840
2023,"March","Fixed or mobile camera",20102
2023,"March","Police issued",4240
2023,"April","Fixed or mobile camera",16973
2023,"April","Police issued",3687
2023,"May","Fixed or mobile camera",19048
2023,"May","Police issued",3685
2023,"June","Fixed or mobile camera",16286
2023,"June","Police issued",3468
2023,"July","Fixed or mobile camera",16377
2023,"July","Mobile camera",3596
2023,"July","Police issued",3255
2023,"August","Fixed or mobile camera",16270
2023,"August","Mobile camera",4737
2023,"August","Police issued",3659
2023,"September","Fixed or mobile camera",16308
2023,"September","Mobile camera",5207
2023,"September","Police issued",3260
2023,"October","Fixed or mobile camera",16016
2023,"October","Mobile camera",6279
2023,"October","Police issued",3416
2023,"November","Fixed or mobile camera",15794
2023,"November","Mobile camera",5583
2023,"November","Police issued",3662
2023,"December","Fixed or mobile camera",15316
2023,"December","Mobile camera",5321
2023,"December","Police issued",3755
