"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","MONTH"
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","17-25","mobile_phone_use","Police issued",8,0,0,1
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","26-39","mobile_phone_use","Police issued",8,0,0,1
2023,"2023-01-01","2023-01-31","ACT","Major Cities of Australia","40-64","mobile_phone_use","Police issued",12,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","17-25","mobile_phone_use","Police issued",55,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","26-39","mobile_phone_use","Police issued",54,0,1,1
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","40-64","mobile_phone_use","Police issued",43,0,1,1
2023,"2023-01-01","2023-01-31","NSW","Inner Regional Australia","65 and over","mobile_phone_use","Police issued",6,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","17-25","mobile_phone_use","Police issued",270,0,5,1
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","26-39","mobile_phone_use","Police issued",335,0,6,1
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","40-64","mobile_phone_use","Police issued",200,0,4,1
2023,"2023-01-01","2023-01-31","NSW","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",31,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","17-25","mobile_phone_use","Police issued",6,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","26-39","mobile_phone_use","Police issued",8,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","40-64","mobile_phone_use","Police issued",9,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Outer Regional Australia","65 and over","mobile_phone_use","Police issued",1,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Remote Australia","40-64","mobile_phone_use","Police issued",1,0,0,1
2023,"2023-01-01","2023-01-31","NSW","Unknown","26-39","mobile_phone_use","Police issued",1,0,0,1
2023,"2023-01-01","2023-01-31","NT","Unknown","17-25","mobile_phone_use","Police issued",3,0,0,1
2023,"2023-01-01","2023-01-31","NT","Unknown","26-39","mobile_phone_use","Police issued",7,0,0,1
2023,"2023-01-01","2023-01-31","NT","Unknown","40-64","mobile_phone_use","Police issued",8,0,0,1
2023,"2023-01-01","2023-01-31","NT","Unknown","65 and over","mobile_phone_use","Police issued",3,0,0,1
2023,"2023-01-01","2023-01-31","SA","Unknown","0-16","mobile_phone_use","Police issued",1,0,0,1
2023,"2023-01-01","2023-01-31","SA","Unknown","17-25","mobile_phone_use","Police issued",106,0,0,1
